matter_class,eos_id,family_group_id,parameter_block_id,model_superfamily_id,exact_formula_primary_verified,underlying_primary_citation_available,audit_amplitude,audit_epsilon0_mev_fm3,audit_sigma_mev_fm3,amplitude_lower_open,amplitude_upper_closed,maximum_gaussian_weight_on_eos_grid,energy_nearest_gaussian_center_mev_fm3,controlled_a_grid_causally_admissible,build_ok,physical_trace_ok,stable_sequence_points,minimum_mass_msun,maximum_mass_msun,radius_1p4_km,lambda_1p4,radius_at_mmax_km,minimum_cs2,maximum_cs2,p_max_causal_mev_fm3,surface_energy_density_mev_fm3,surface_energy_per_baryon_mev,passes_low_mass_trace,covers_ml_mass_grid_1_to_2,passes_two_solar_mass_screen,passes_project_mmax_screen,passes_common_r14_screen,passes_project_upper_mass_screen,pilot_eligible_2p0,pilot_eligible_strict,recommended_for_pilot_2p0,recommended_for_pilot_strict,published_mmax_msun,published_r_at_mmax_km,mmax_minus_published_msun,r_at_mmax_minus_published_km,published_cfl_crosscheck_within_3pct,rejection_reasons,recommendation_reasons,audit_error
hadronic,MDI-3,H_MDI,,H_REPOSITORY_SURROGATES,False,True,0.0,220.0,50.0,-0.13356672555198135,0.8602663475783547,0.9998389247901663,219.10253639673113,True,True,True,38,0.09029321661039025,2.040257220092592,14.033122337168184,867.4138619631328,11.260922677364249,0.011625897673706684,0.9999881662696284,1408.7245719201255,0.0,,True,True,True,False,True,True,True,False,True,False,,,,,,Mmax below project screen 2.08 Msun,Mmax below project screen 2.08 Msun,
hadronic,MDI-4,H_MDI,,H_REPOSITORY_SURROGATES,False,True,0.0,220.0,50.0,-0.1448976285358259,0.8499740639300037,0.9999154284979713,219.34971130103688,True,True,True,38,0.0898716721581722,2.0666984502846386,14.759025435168411,1182.4608573925104,11.59144316222961,0.013655730926765784,0.9999655648234741,1331.4711209342236,0.0,,True,True,True,False,False,True,False,False,False,False,,,,,,Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,
hadronic,NLD,H_NLD,,H_REPOSITORY_SURROGATES,False,True,0.0,220.0,50.0,-0.17680768506735453,0.821647223290413,0.999965472643961,219.5845005889177,True,True,True,31,0.08984917318552633,2.4677915857053763,20.74983184764,11128.190680102,17.21901723481675,0.12235185086218549,0.5986199280589714,2500.0000655987487,0.0,,True,True,True,True,False,True,False,False,False,False,,,,,,R1.4 outside common 9.5-14.5 km screen,R1.4 outside common 9.5-14.5 km screen,
hadronic,PS,H_PS,,H_REPOSITORY_SURROGATES,False,False,0.0,220.0,50.0,-0.041038962894586285,0.9437840794318965,0.9996875247037926,221.2500482526392,False,True,True,36,0.08704982692123443,2.4718920631772257,12.323729844464433,528.1352849176668,12.151727880934937,0.015085738003304755,0.8546252592351021,2500.0087764522773,0.0,,True,True,True,True,True,True,True,True,False,False,,,,,,,no underlying primary citation in fit source,
hadronic,SCVBB,H_SCVBB,,H_REPOSITORY_SURROGATES,False,True,0.0,220.0,50.0,-0.0916400239665044,0.9009906522248387,0.999862706298686,220.82856239039955,True,True,True,39,0.08832587772734946,2.013795989972988,12.289899960447007,380.20769394990845,10.359424727672513,0.0086651594243016,0.999988440435138,2251.4982098824667,0.0,,True,True,True,False,True,True,True,False,True,False,,,,,,Mmax below project screen 2.08 Msun,Mmax below project screen 2.08 Msun,
hadronic,SkI4,H_SKYRME,,H_REPOSITORY_SURROGATES,False,True,0.0,220.0,50.0,-0.13690579460738517,0.8514945346792401,0.9999131276609483,219.3409244630851,True,True,True,40,0.08833907275022043,2.276156909431579,13.74849425213303,811.8927380955996,11.39567330553249,0.009567739151755407,0.9999723280113586,767.9603613642988,0.0,,True,True,True,True,True,True,True,True,True,True,,,,,,,,
hadronic,Ska,H_SKYRME,,H_REPOSITORY_SURROGATES,False,True,0.0,220.0,50.0,-0.12348562748650549,0.8659962277848509,0.9998230089007767,220.9407623610571,True,True,True,39,0.0905635222080422,2.2369252283839143,13.450847552349725,691.85565017305,11.249727352748002,0.010010999842938628,0.999949907113353,910.7126613797659,0.0,,True,True,True,True,True,True,True,True,True,True,,,,,,,,
hadronic,W,H_WALECKA,,H_REPOSITORY_SURROGATES,False,True,0.0,220.0,50.0,-0.20358010294625598,0.772571220959387,0.9999707649983168,219.61766880172968,True,True,True,36,0.09134577974756966,2.652642484273134,14.927449897407705,1418.5730501583685,13.200567878586755,0.010856992990859573,0.8207855409320013,2500.0065406691183,0.0,,True,True,True,True,False,True,False,False,False,False,,,,,,R1.4 outside common 9.5-14.5 km screen,R1.4 outside common 9.5-14.5 km screen,
hadronic,WFF-1,H_WFF,,H_REPOSITORY_SURROGATES,False,True,0.0,220.0,50.0,-0.07083590277863093,0.9225567931070292,0.9999992868305105,220.05971472782218,True,True,True,37,0.08875208346159122,1.9986117219539317,11.543181408710783,264.5671379708903,10.806030302404443,0.007194143402940975,0.9998298737569805,364.69966042511214,0.0,,True,False,False,False,True,True,False,False,False,False,,,,,,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,
hadronic,WFF-2,H_WFF,,H_REPOSITORY_SURROGATES,False,True,0.0,220.0,50.0,-0.08295131955443852,0.908790447512773,0.9999752939111022,219.64852884828022,True,True,True,37,0.08980353357802535,2.0939415743641474,12.056847863204526,349.07185060242205,11.14209409877178,0.007878594407648902,0.9998911671393519,372.1994527610073,0.0,,True,True,True,True,True,True,True,True,True,True,,,,,,,,
quark,CFL1,Q_CFL1,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-0.35035668675147374,0.6558250990854094,0.9938561938569167,225.5510165646012,True,True,True,78,0.057202142419569016,2.0665742264222122,11.075526492853097,511.96094769527787,11.181317397440818,0.33553150793509945,0.3482041631871397,2500.0000019642757,225.5510165646012,810.8374857442543,True,True,True,False,True,True,True,False,True,False,2.051,11.08,0.015574226422212067,0.10131739744081791,True,Mmax below project screen 2.08 Msun,Mmax below project screen 2.08 Msun,
quark,CFL10,Q_CFL10,Q_CFL_B080,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-0.46057563715120864,0.5975249941880357,0.9450896922103657,236.8040833728545,True,True,True,81,0.05257232107690594,2.218817936616328,11.04799378609173,521.6357751818035,11.453803516232657,0.34865897035031385,0.43528528715482884,2500.000009874723,236.8040833728545,748.8835497390614,True,True,True,True,True,True,True,True,True,True,2.202,11.36,0.016817936616328133,0.09380351623265781,True,,,
quark,CFL11,Q_CFL11,Q_CFL_B100,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-61.8114643051722,117.48355729457998,0.005577399701773885,381.0750231176223,True,True,True,95,0.05539757119041287,1.5830831955438365,8.922907890895557,101.29232444730248,8.576917161779248,0.33551442392145314,0.34474724258187456,2500.0000008981374,381.0750231176223,927.9676800425083,True,False,False,False,False,True,False,False,False,False,1.571,8.51,0.012083195543836522,0.06691716177924789,True,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,
