matter_class,eos_id,family_group_id,amplitude,build_ok,physical_trace_ok,minimum_mass_msun,maximum_mass_msun,radius_1p4_km,covers_ml_mass_grid_1_to_2,passes_mmax_floor,passes_mmax_ceiling,passes_r14_screen,acceptable,reason
hadronic,MDI-3,H_MDI,0.02,True,True,0.0903575283791417,2.066059851925341,14.385226815035814,True,True,True,True,True,
hadronic,MDI-3,H_MDI,0.03,True,True,0.0903899236232672,2.080685708067012,14.539584177236549,True,True,True,False,False,R1.4 screen
hadronic,MDI-3,H_MDI,0.04,True,True,0.0904224654629468,2.0955370286760884,14.679604668551487,True,True,True,False,False,R1.4 screen
hadronic,MDI-3,H_MDI,0.05,True,True,0.0904550649342466,2.110607809824234,14.800505753448954,True,True,True,False,False,R1.4 screen
hadronic,MDI-3,H_MDI,0.09,True,True,0.0905869209530766,2.178560196849869,15.17704071987857,True,True,True,False,False,R1.4 screen
hadronic,SCVBB,H_SCVBB,-0.05,True,True,0.0882376020678026,1.97684828958986,11.406750489620046,False,False,True,True,False,1-2 Msun support; Mmax<2.0
hadronic,SCVBB,H_SCVBB,-0.02,True,True,0.0882898718034624,1.9983442721236375,11.920527412545985,False,False,True,True,False,1-2 Msun support; Mmax<2.0
hadronic,SCVBB,H_SCVBB,0.0,True,True,0.0883258777273494,2.013795989972988,12.289899960447007,True,True,True,True,True,
hadronic,SCVBB,H_SCVBB,0.01,True,True,0.0883447376945783,2.0226272521444866,12.480702012870246,True,True,True,True,True,
hadronic,SCVBB,H_SCVBB,0.02,True,True,0.088363458446057,2.0316552620234187,12.676431886844032,True,True,True,True,True,
hadronic,SCVBB,H_SCVBB,0.03,True,True,0.0883826154066106,2.040878957184729,12.874933219996525,True,True,True,True,True,
hadronic,SCVBB,H_SCVBB,0.04,True,True,0.0884019521820647,2.050297174567784,13.074345640378628,True,True,True,True,True,
hadronic,SCVBB,H_SCVBB,0.05,True,True,0.0884217520635603,2.059908508284789,13.271154200448327,True,True,True,True,True,
hadronic,SCVBB,H_SCVBB,0.09,True,True,0.0885032218093052,2.102380724938956,13.982619718985896,True,True,True,True,True,
